Question,Answer,Class
Какие документы нужны для первого этапа?,"В справке должны быть указаны: ФИО учащегося (полностью), название образовательной организации с указанием населенного пункта, класса обучения, дата выдачи справки. Справка заверяется подписью ответственного лица и печатью. Фотография необходима для учащихся, не имеющих паспорта.",5
Что должно быть написано в справке из школы?,"В справке должны быть указаны: ФИО учащегося (полностью), название образовательной организации с указанием населенного пункта, класса обучения, дата выдачи справки. Справка заверяется подписью ответственного лица и печатью. Фотография необходима для учащихся, не имеющих паспорта.",5
Что должно быть в справке из школы для поступления?,"В справке должны быть указаны: ФИО учащегося (полностью), название образовательной организации с указанием населенного пункта, класса обучения, дата выдачи справки. Справка заверяется подписью ответственного лица и печатью. Фотография необходима для учащихся, не имеющих паспорта.",5
Будет ли ограничение по количеству поступающих при электронной регистрации?,Ограничений по количеству поступающих при электронной регистрации не будет.,6
Планируется ли ограничить число поступающих по электронной регистрации?,Ограничений по количеству поступающих при электронной регистрации не будет.,6
Есть ограничение при электронной регистрации?,Ограничений по количеству поступающих при электронной регистрации не будет.,6
Мы зарегистрировались онлайн. Нас все равно примут?,Ограничений по количеству поступающих при электронной регистрации не будет.,6
Какое ограничение по числу поступающих по электронной регистрации?,Ограничений по количеству поступающих при электронной регистрации не будет.,6
"Я хотел бы уточнить, можно ли узнать примерные темы первого тестирования по информатике для поступления в 10 информационно-технологический класс.","Демоверсии заданий по информатике первого этапа вступительных испытаний размещены в разделе ""Материалы для подготовки"".",7
Где можно узнать темы первичного тестирования по информатике для поступления в информационно-технологический класс?,"Демоверсии заданий по информатике первого этапа вступительных испытаний размещены в разделе ""Материалы для подготовки"".",7
К чему нужно готовится если поступаешь на информатику?,"Демоверсии заданий по информатике первого этапа вступительных испытаний размещены в разделе ""Материалы для подготовки"".",7
Есть ли варианты тестирования по информатике за 10 класс прошлых лет?,"Демоверсии заданий по информатике первого этапа вступительных испытаний размещены в разделе ""Материалы для подготовки"".",7
По каким темам необходимо подготовиться для поступления в 10 информационно-технологический класс?,"Демоверсии заданий по информатике первого этапа вступительных испытаний размещены в разделе ""Материалы для подготовки"".",7
"Мой ребенок хочет поступить в 9 класс лицея. Скажите, пожалуйста, в какой форме проходит первый этап вступительных испытаний?",Вступительные испытания на первом этапе представляют собой выполнение письменных работ по профильным предметам.,8
Как проходит первый этап вступительных испытания для поступающих в 9 класс?,Вступительные испытания на первом этапе представляют собой выполнение письменных работ по профильным предметам.,8
Как проходят вступительные?,Вступительные испытания на первом этапе представляют собой выполнение письменных работ по профильным предметам.,8
Какие экзамены надо сдавать в девятый класс?,Вступительные испытания на первом этапе представляют собой выполнение письменных работ по профильным предметам.,8
В какой форме проходят вступительные экзамены в 9 класс?,Вступительные испытания на первом этапе представляют собой выполнение письменных работ по профильным предметам.,8
"Подскажите, пожалуйста, когда начнется прием на 2018-2019 гг. И где можно узнать эту информацию.",Первый этап вступительных испытаний начнется 25 марта 2018 года. Электронная регистрация откроется 12 марта на сайте лицея. Подробнее можно прочитать в Правилах приема.,9
Подскажите когда начнется прием заявок на поступление на 2018-2019 год обучения?,Первый этап вступительных испытаний начнется 25 марта 2018 года. Электронная регистрация откроется 12 марта на сайте лицея. Подробнее можно прочитать в Правилах приема.,9
Когда начинается прием?,Первый этап вступительных испытаний начнется 25 марта 2018 года. Электронная регистрация откроется 12 марта на сайте лицея. Подробнее можно прочитать в Правилах приема.,9
Где можно узнать правила набора на 2018-2019 учебный год?,Первый этап вступительных испытаний начнется 25 марта 2018 года. Электронная регистрация откроется 12 марта на сайте лицея. Подробнее можно прочитать в Правилах приема.,9
Когда начнется прием 2018-2019?,Первый этап вступительных испытаний начнется 25 марта 2018 года. Электронная регистрация откроется 12 марта на сайте лицея. Подробнее можно прочитать в Правилах приема.,9
Является ли факт электронной регистрации одновременно подтверждением участия ребенка в выбранном потоке?,"Да, подтверждение регистрации является подтверждением участия ребенка в выбранном потоке.",10
"Является ли наличие электронной регистрации подтверждением того, что ребенок участвует в потоке?","Да, подтверждение регистрации является подтверждением участия ребенка в выбранном потоке.",10
Достаточно только зарегестрировать ребенка по электронной регистрации?,"Да, подтверждение регистрации является подтверждением участия ребенка в выбранном потоке.",10
Я зарегисрировала ребенка онлайн (электронно) этого достаточно для участия? Или надо прийти лично?,"Да, подтверждение регистрации является подтверждением участия ребенка в выбранном потоке.",10
Электронная регистрация подтверждает участие в выбранном потоке?,"Да, подтверждение регистрации является подтверждением участия ребенка в выбранном потоке.",10
"Если я правильно поняла, первый этап испытаний проводится очно. В связи с этим, хотелось бы уточнить время начала и окончания испытаний.","И первый, и второй этап - очные. Начало вступительных испытаний на первом этапе в 10:00. Окончание - в зависимости от количества выбранных предметов (два или три), но не позднее 16:00.",11
Можно ли узнать время начала и окончания испытаний для первого этапа?,"И первый, и второй этап - очные. Начало вступительных испытаний на первом этапе в 10:00. Окончание - в зависимости от количества выбранных предметов (два или три), но не позднее 16:00.",11
Когда проходит первый этап?,"И первый, и второй этап - очные. Начало вступительных испытаний на первом этапе в 10:00. Окончание - в зависимости от количества выбранных предметов (два или три), но не позднее 16:00.",11
А когда начинается первый этап? И сколько он длится?,"И первый, и второй этап - очные. Начало вступительных испытаний на первом этапе в 10:00. Окончание - в зависимости от количества выбранных предметов (два или три), но не позднее 16:00.",11
Когда начинается первый этап испытаний?,"И первый, и второй этап - очные. Начало вступительных испытаний на первом этапе в 10:00. Окончание - в зависимости от количества выбранных предметов (два или три), но не позднее 16:00.",11
"К сожалению, не могу найти приложение с заявлением и согласием на обработку персональных данных, была бы Вам признательна, если бы Вы указали ссылку или путь к данным документам.",Формы заявления и согласия будут размещены по ссылке.,12
"Выдайте, пожалуйста, ссылку на заявление с согласием на обработку персональных данных.",Формы заявления и согласия будут размещены по ссылке.,12
Где найти заявление на обработку персональных данных?,Формы заявления и согласия будут размещены по ссылке.,12
Где взять шаблон заявления об обработке персональных данных?,Формы заявления и согласия будут размещены по ссылке.,12
Где найти заявление на обработку персональных данных?,Формы заявления и согласия будут размещены по ссылке.,12
Где можно посмотреть демонстрационные варианты экзаменов первого этапа и список тем для подготовки?,"Материалы для подготовки будут размещены в ближайшее время на сайте лицея в разделе ""Материалы для подготовки"".",13
Где можно найти варианты экзаменов прошлых лет первого этапа?,"Материалы для подготовки будут размещены в ближайшее время на сайте лицея в разделе ""Материалы для подготовки"".",13
"Как можно готовится к экзамену, есть ли прошлогодние варианты?","Материалы для подготовки будут размещены в ближайшее время на сайте лицея в разделе ""Материалы для подготовки"".",13
Есть ли варианты экзаменов за прошлые года?,"Материалы для подготовки будут размещены в ближайшее время на сайте лицея в разделе ""Материалы для подготовки"".",13
Где посмотреть примеры вариантов вступительных экзаменов?,"Материалы для подготовки будут размещены в ближайшее время на сайте лицея в разделе ""Материалы для подготовки"".",13
"В прошлом году рекомендация преподавателя центра ""Физтех-Потенциал"" давала льготы при поступлении. Скажите, пожалуйста, даёт ли она льготы в этом году?","Рекомендация преподавателя центра ""Физтех-Потенциал"" не даёт льготы при поступлении.",14
"Дает ли льготы рекоммендация преподавателя ""Физтех-Потенциал"" в этом году?","Рекомендация преподавателя центра ""Физтех-Потенциал"" не даёт льготы при поступлении.",14
Как рекомендация учителя может повлиять на поступление?,"Рекомендация преподавателя центра ""Физтех-Потенциал"" не даёт льготы при поступлении.",14
"Скажите, а рекомендации от преподавателей центра Физтех потенциал еще дают льготы при поступлении?","Рекомендация преподавателя центра ""Физтех-Потенциал"" не даёт льготы при поступлении.",14
Даёт ли льготы рекомендация преподавателя центра Физтех-Потенциал при поступлении?,"Рекомендация преподавателя центра ""Физтех-Потенциал"" не даёт льготы при поступлении.",14
